Date,Price,Open,High,Low,Vol.,Change %
2012-01-08,6.0653,6.1747,6.1972,6.0311,,-1.75%
2012-01-07,6.1735,6.2721,6.3033,6.1133,,-1.60%
2012-01-06,6.2742,6.2991,6.3753,6.1965,,-0.25%
2012-01-05,6.2899,6.3075,6.384,6.24,,-0.19%
2012-01-04,6.3021,6.2924,6.3492,6.2518,,-0.06%
2012-01-03,6.3058,6.1785,6.3547,6.117,,2.11%
2012-01-02,6.1753,6.3695,6.3826,6.1642,,-3.06%
2012-01-01,6.37,6.3673,6.4015,6.2888,,-0.04%
2011-01-12,6.3728,6.3174,6.4152,6.1845,,0.92%
2011-01-11,6.315,6.3278,6.4268,6.1941,,-0.16%
2011-01-10,6.3249,6.4758,6.4901,6.1972,,-2.01%
2011-01-09,6.4544,6.6394,6.989,6.1648,,-2.93%
2011-01-08,6.6491,6.7904,7.8126,6.4878,,-2.70%
2011-01-07,6.8334,6.3975,6.9226,6.284,,6.74%
2011-01-06,6.4019,6.2896,6.6286,6.2725,,1.65%
2011-01-05,6.2978,6.0513,6.4229,6.0182,,4.00%
2011-01-04,6.0556,6.0131,6.1431,5.8803,,0.59%
2011-01-03,6.0202,6.0187,6.3248,5.9524,,-0.04%
2011-01-02,6.0228,6.1124,6.139,5.9588,,-1.55%
2011-01-01,6.1178,6.2296,6.2749,6.0213,,-1.80%
2010-01-12,6.2299,6.1765,6.4189,6.0609,,0.79%
2010-01-11,6.1813,5.9483,6.251,5.8858,,3.96%
2010-01-10,5.9457,5.9688,6.1443,5.9085,,-0.46%
2010-01-09,5.9734,6.1916,6.2186,5.9328,,-3.70%
2010-01-08,6.2032,5.8363,6.2304,5.6789,,6.37%
2010-01-07,5.8317,6.0414,6.1259,5.7937,,-3.27%
2010-01-06,6.0291,5.5912,6.0514,5.5553,,7.90%
2010-01-05,5.5878,5.482,5.7284,5.4266,,1.96%
2010-01-04,5.4802,5.6361,5.6729,5.449,,-2.82%
2010-01-03,5.6392,5.5091,5.6845,5.4733,,2.53%
2010-01-02,5.4999,5.5886,5.6287,5.4501,,-1.57%
2010-01-01,5.5876,5.585,5.6185,5.4963,,-0.14%
2009-01-12,5.5957,5.6495,5.6633,5.5308,,-0.98%
2009-01-11,5.6509,5.5892,5.6857,5.4981,,1.21%
2009-01-10,5.5831,5.5697,5.6258,5.4463,,0.24%
2009-01-09,5.5698,5.6726,5.7714,5.5613,,-1.96%
2009-01-08,5.6812,5.7226,5.8069,5.5984,,-0.82%
2009-01-07,5.7282,5.9174,6.0465,5.6864,,-3.25%
2009-01-06,5.9208,5.8999,6.0864,5.7353,,0.42%
2009-01-05,5.896,5.7584,5.997,5.6696,,2.49%
2009-01-04,5.753,5.9104,5.9375,5.7221,,-2.60%
2009-01-03,5.9064,6.0581,6.2013,5.5705,,-1.64%
2009-01-02,6.005,5.9554,6.1009,5.7054,,0.55%
2009-01-01,5.9719,6.4991,6.5719,5.8228,,-8.28%
2008-01-12,6.511,5.7596,6.7751,5.7103,,12.53%
2008-01-11,5.7861,5.8202,6.0386,5.6593,,-0.31%
2008-01-10,5.8042,5.2309,6.2665,5.2129,,10.94%
2008-01-09,5.2319,4.9256,5.3362,4.9175,,6.20%
2008-01-08,4.9263,4.8986,4.9835,4.8811,,0.49%
2008-01-07,4.9021,4.98,5.0483,4.8845,,-1.66%
2008-01-06,4.9847,4.8957,5.0123,4.8782,,1.78%
2008-01-05,4.8976,4.9098,4.9253,4.7622,,-0.32%
2008-01-04,4.9133,5.122,5.1425,4.8956,,-4.20%
2008-01-03,5.1288,5.005,5.2313,4.9332,,2.41%
2008-01-02,5.0082,4.9982,5.062,4.8399,,0.09%
2008-01-01,5.0038,4.7914,5.1216,4.7719,,4.35%
2007-01-12,4.795,4.8942,4.9304,4.7409,,-2.08%
2007-01-11,4.8971,4.6317,4.9625,4.6204,,5.64%
2007-01-10,4.6357,4.6339,4.6617,4.5344,,0.14%
2007-01-09,4.629,4.8196,4.8538,4.6205,,-4.07%
2007-01-08,4.8256,4.8512,4.9931,4.7947,,-0.63%
2007-01-07,4.856,4.8244,4.8859,4.7388,,0.71%
2007-01-06,4.8216,4.9214,4.93,4.7885,,-2.06%
2007-01-05,4.9231,4.9242,4.9808,4.8903,,-0.12%
2007-01-04,4.9292,5.0,5.0423,4.9036,,-1.50%
2007-01-03,5.0042,5.0229,5.136,4.9849,,-0.52%
2007-01-02,5.0305,5.0143,5.0522,4.935,,0.25%
2007-01-01,5.0181,5.1107,5.2005,5.0021,,-1.96%
2006-01-12,5.1184,5.1356,5.1694,5.0654,,-0.43%
2006-01-11,5.1406,5.254,5.2679,5.1173,,-2.16%
2006-01-10,5.2543,5.211,5.3503,5.1954,,0.43%
2006-01-09,5.2316,5.1299,5.3436,5.1147,,1.87%
