Date,Price,Open,High,Low,Vol.,Change %
2002-01-06,80.73,79.15,81.62,78.7,,2.10%
2002-01-05,79.07,79.46,80.79,78.19,,-0.52%
2002-01-04,79.48,78.93,80.45,78.1,,0.68%
2002-01-03,78.94,78.67,80.19,75.67,,0.29%
2002-01-02,78.71,78.22,79.94,77.36,,0.59%
2002-01-01,78.25,79.12,80.93,77.56,,-1.41%
2001-01-12,79.37,75.08,79.56,74.53,,5.56%
2001-01-11,75.19,74.91,75.38,72.63,,0.41%
2001-01-10,74.88,73.64,75.44,73.23,,1.48%
2001-01-09,73.79,71.7,74.72,69.65,,3.23%
2001-01-08,71.48,72.38,73.04,70.98,,-1.33%
2001-01-07,72.44,69.57,72.66,68.78,,4.19%
2001-01-06,69.53,66.34,70.73,65.73,,4.81%
2001-01-05,66.34,71.39,71.55,65.82,,-6.89%
2001-01-04,71.25,72.47,74.51,69.69,,-1.72%
2001-01-03,72.5,70.26,73.25,70.12,,3.17%
2001-01-02,70.27,71.26,71.64,67.82,,-1.24%
2001-01-01,71.15,70.98,73.56,69.56,,0.21%
2000-01-12,71.0,63.79,71.0,63.73,,11.22%
2000-01-11,63.84,60.54,64.13,60.07,,5.24%
2000-01-10,60.66,62.55,63.16,59.02,,-3.15%
2000-01-09,62.63,61.32,62.75,58.75,,2.22%
2000-01-08,61.27,65.43,65.81,60.72,,-6.43%
2000-01-07,65.48,64.93,66.55,64.1,,0.88%
2000-01-06,64.91,64.0,65.91,62.6,,1.36%
2000-01-05,64.04,62.78,64.53,61.1,,1.65%
2000-01-04,63.0,62.08,65.65,61.39,,2.02%
2000-01-03,61.75,66.14,66.27,61.27,,-6.75%
2000-01-02,66.22,64.77,69.54,64.18,,2.18%
2000-01-01,64.81,64.05,68.19,63.56,,0.82%
